,label,text
15,Jaundice,"Doctor, over the past few weeks, I've noticed my eyes and skin have taken on a yellowish hue, and I've been feeling extremely fatigued and nauseous, especially after eating fatty foods, which has made me lose my appetite altogether. Lately, I've also been experiencing intense itching sensations on my skin, which has been keeping me up at night, and my urine has been darker than usual, almost brownish in color."
16,Malaria,"Doc, I've been feeling miserable for weeks now - my body aches all over, especially my back and legs, and I have a recurring fever that comes and goes, leaving me feeling exhausted and weak. For the past few days, I've also been experiencing vivid nightmares, swelling in my hands and feet, and stomach cramps that wake me up in the middle of the night, often with a dry cough and a metallic taste in my mouth."
17,urinary tract infection,"I've been experiencing a persistent and increasingly uncomfortable urge to urinate, even though I only seem to pass small amounts. I've noticed a slight burning sensation during urination and a faint, unpleasant smell in my urine for the past few days."
18,allergy,"Doctor, I've been experiencing these itchy and scratchy sensations on my arms and legs for the past few weeks, which started after a family trip to the beach where I got stung by a bee, but the weirdness didn't stop there - lately, every time I eat spinach or drink almond milk, I feel this tightness in my throat and a recurring cough that's become really annoying, and to make matters worse, my skin has been breaking out in these weird, itchy red rashes all over my torso, which can take days to heal on their own, and I'm getting really concerned it's getting worse."
19,gastroesophageal reflux disease,"I've been experiencing this burning sensation in my chest for the past few nights, every time I lie down after eating a large meal, which gets worse if I eat spicy foods or drink too much coffee. It's not just the discomfort that's bothering me, but I've also had hoarseness in my voice for a couple of months now, and I've noticed that I've been coughing more than usual, especially first thing in the morning, which I'm convinced is related to the acid reflux I'm sure I've been experiencing, but I'm worried it might be something more serious."
20,drug reaction,"I started noticing a tingling sensation in my fingers and toes about two weeks ago, which has gradually spread to my face and arms. Today, I woke up with a rash on my chest and stomach that looks like a mix of hives and eczema, and my skin feels incredibly itchy and sensitive to touch – it's like my skin is inflamed and raw, and even gentle motions of my fingers cause me to wince in discomfort."
21,peptic ulcer disease,"I've been having this gnawing, dull ache in the center of my stomach that started a few weeks ago, but it only seems to get worse at night after eating a big meal or waking up in the morning. Lately, I've also noticed that I've been passing bloody stools and black tarry-looking stool, which has been really freaking me out, and sometimes I get this intense burning sensation in my stomach that feels like it's radiating up to my chest, and the pain is sometimes sharp and stabbing, other times it's just a constant, thudding ache that makes me feel like I'm going nuts."
22,diabetes,"The persistent thirst and frequent urination are like an unending symphony, disturbing my sleep and leaving me constantly exhausted. My body feels like a perpetual whirlwind of weakness, making even the simplest tasks feel like an uphill battle."
23,Psoriasis,"I'm experiencing itchy, red patches on my elbows that have been present for a couple of months. The patches seem to be spreading and are particularly uncomfortable at night, causing a burning sensation."
24,Varicose Veins,"I've been noticing these enlarged, swollen, and lumpy veins on the surface of my legs, particularly on my thighs and calves, for probably around 6-8 weeks now. They've been getting progressively worse, with the veins feeling tender to the touch, especially after a long day or intense physical activity, and I've noticed my legs tend to ache or feel heavy, especially on the affected areas, after even short walks or periods of standing."
25,Typhoid,"I am experiencing recurring episodes of high fever that started about two weeks ago. The fevers subside temporarily but come back in vicious cycles. I have intense pelvic pain that feels dull and intermittent, also a worsening of appetite and odd sensations. My urinary flow decreased in frequency and amount, and I've been feeling weak and exhausted. I experience dizziness when getting out of bed and have even shown weight gain. My strength is low, and I'm constantly sleepy with sweating despite high temperatures. I had episodes of headache, vomiting, and heavy sweating as well. Blood tests were done due to the constant fatigue and feeling ill, and I've been to the hospital. It has been a rough month, and I'm confused about my overall health condition."
26,Chicken pox,"Doctor, I've felt completely exhausted for weeks now, and even the slightest touch feels like needles piercing my skin. Yesterday, I noticed these red, itchy bumps all over my body, and some are starting to blister."
27,Impetigo,"Doctor, I've been noticing these pesky red sores on my face for a few weeks now, they started as small bumps that would ooze when I scratched them, but lately, they've merged into these open, weeping lesions that seem to spread on their own - I've tried putting antibiotic ointment on them, but they just won't seem to clear up. For the past month, I've also been experiencing these itchy, swollen patches on my arms and legs, which sometimes blister and then scab over, leaving these annoying scars that won't fade."
28,Dengue,"Doc, I've been experiencing this persistent low-grade fever on and off for the past two weeks, but what's really been bothering me is this severe joint pain that started about a week ago, especially in my knees and elbows, it's like someone is squeezing them tightly and it's been waking me up at night. Lately, I've also noticed these tiny red rashes on my arms and legs that seem to be spreading, and I've been feeling extremely weak and fatigued, even after resting for hours."
29,Fungal infection,"Doc, for the past few weeks, I've been experiencing this annoying itchiness on my skin, especially on my feet and groin area, which has been getting worse over time, and lately, I've noticed these weird, scaly patches that seem to be spreading, making me feel self-conscious and uncomfortable in my own skin. Just yesterday, I woke up with a severe burning sensation on my toes, which has been throbbing on and off throughout the day, and I'm really worried about what's going on."
30,Common Cold,"I've been experiencing a persistent runny nose and occasional nasal congestion for the past week, along with a mild sore throat and frequent sneezing. Additionally, I've noticed a general feeling of fatigue and mild headaches that have been bothering me for the past couple of days."
31,Pneumonia,"I've been battling a persistent cough for the past few weeks that seems to be worsening over time. I've also noticed a dull chest pain when I take deep breaths, and I've been experiencing shortness of breath, especially during physical activities. Additionally, I've had a low-grade fever and fatigue that has left me feeling weak and drained."
32,Arthritis,"Lately, I've been waking up with a stiffness in my hands and knees that takes me a good 30 minutes to shake off, and even then, it's like my joints are screaming at me to take it easy - meanwhile, the aching in my shoulders and elbows has been on and off for weeks, mostly after I've done some physical activity or lifted something heavy. Some days, the pain is so sharp it feels like someone is poking needles into my fingers, and the simplest tasks like buttoning my shirt or even holding a cup of coffee have become a real challenge."
33,Acne,"Doctor, I've been dealing with this for months now - small, red bumps have been popping up on my chest and back, but recently, they've started to get bigger and more painful, with pus-filled cysts that feel like hot, throbbing lumps under the skin. Over the past week, I've also noticed whiteheads and blackheads on my face, especially around my nose and forehead, and they're really bothering me because they're causing me embarrassment and discomfort, especially when I try to go out in public."
34,Bronchial Asthma,"My chest tightens with each labored breath, a symphony of rasping air that echoes in my ears. The world has become a muffled gray, overshadowed by the persistent whisper of congestion."
35,Hypertension,"Persistent tightness in chest, feeling dizzy or lightheaded, intermittent headaches (particularly in the temples), increased heart rate (even at rest) for the past few weeks."
36,Migraine,"I've been dealing with this hellish headaches for months, but the latest one started earlier today - it's like a knife tearing through my left temple, and I can feel the pain spreading to my neck and shoulder. Recently, I've also been experiencing frequent dizziness, sensitivity to light and sound, and numbness in my left hand and arm, especially after waking up in the mornings, which has made it really hard to get out of bed."
37,Cervical spondylosis,"My neck feels like a rusty gate, creaking and groaning with every movement. The pain shoots down my spine, searing through my shoulder blades and making it feel like someone used a needle to repeatedly punch holes in my back."
38,Jaundice,"Doc, over the past few weeks, I've been noticing that my urine is getting darker and my stools are lighter, and just yesterday I woke up to my skin and the whites of my eyes having this eerie yellow tint that's really freaking me out. Sometimes I get these bouts of extreme fatigue and nausea that leave me bedridden for hours, and I've had this persistent itch all over my body that's been driving me crazy for months now."
39,Malaria,"Doctor, I've been feeling fatigued for weeks now, like I can barely get out of bed. Lately, I've also been having these awful chills that come and go, followed by burning fevers that last for days."
40,urinary tract infection,"I've had this persistent burning sensation when I pee for the past few weeks, and lately it feels like I can't quite empty my bladder completely.  I've also been going to the bathroom more often, even though I don't drink any more water than usual."
41,allergy,"Doc, I've been experiencing these weird symptoms for a few weeks now - my skin has been itching nonstop, especially on my arms and legs, and I've had these recurring hives that seem to appear out of nowhere, even after taking a warm shower. Lately, I've also been having trouble breathing when I'm around my cat, and I've noticed that my throat feels scratchy and swollen, especially after eating certain foods like nuts and shellfish."
42,gastroesophageal reflux disease,"Doc, I've been experiencing this burning sensation in my chest, especially after meals, for the past few weeks - it's like a tightness that starts in my upper abdomen and rises up into my throat, and sometimes it's so severe that it wakes me up at night. Lately, I've also noticed that I've been having trouble swallowing, and I get this sour taste in my mouth, especially after eating citrus fruits or lying down after a meal, which has been happening more frequently over the past few months."
43,peptic ulcer disease,"Lately, I've been waking up in the middle of the night with this gnawing, burning sensation in my upper stomach, and it's been persisting for weeks, making it hard for me to fall back asleep. Over the past few months, I've also noticed that I get this sharp, stabbing pain in my belly after eating, especially if I've had spicy or fatty foods, and it takes hours for it to subside."
44,diabetes,"I've been feeling incredibly thirsty lately, like I could drink all day and still be parched. And for the past few months, I've noticed I'm going to the bathroom way more often, especially at night."
45,Psoriasis,"Doc, I've been experiencing this maddening itch on my elbows and knees for the past three weeks, which has been keeping me up at night, and just this morning I woke up with a bunch of small, scaly patches on my scalp that are now starting to spread to my neck; it's like my skin is on fire and I just can't take it anymore."
46,Varicose Veins,"It's these twisted, bulging veins on my legs that have been getting progressively worse. They're starting to ache, especially after standing for a while, and I've noticed some swelling in my ankles too."
47,Typhoid,"I've had a persistent weakness and lethargy for the past few weeks, and I've lost my appetite completely. I'm also having these awful stomach cramps and the fever just won't break."
48,Chicken pox,"A relentless itching consumes my skin, a thousand tiny needles pricking beneath the surface. Patchy, neon-orange lesions have erupted across my body, leaving me feeling like a living, breathing painting by Vincent van Gogh."
49,Impetigo,"I've been dealing with these itchy, bubbly patches on my face and body for a few weeks now, and they just won't go away. It started with just a few small bumps on my forehead and cheeks, but over time they've spread to my arms, legs, and even my neck, and now they're getting bigger, scabby, and just incredibly uncomfortable - I'm at my wit's end."
50,Fungal infection,"Doctor, over the past few weeks, I've noticed this itchy, burning sensation on the sole of my left foot, especially between the toes, and it's gotten so bad that even walking is painful now, plus I've seen this flaky, white skin around the infected area which sometimes peels off on its own; but what really alarms me is that a month ago I had this sudden outbreak of painful blisters on my toes which just vanished as mysteriously as they appeared, and now this whole new set of symptoms has kicked in, really confusing me about what's going on."
51,Common Cold,"I have been experiencing a persistent runny nose and nasal congestion for the past few days, along with occasional bouts of sneezing. Additionally, I've had a mild sore throat and fatigue for about a week."
52,Pneumonia,"I've been feeling fatigued and short of breath for weeks now, as if I've been running non-stop without stopping, and lately, I've been experiencing a lingering cough that's gotten increasingly worse, especially at night, with a stubborn, raspy, and dry feeling in my chest that's been building up over time. Today, I noticed I'm having trouble catching my breath when I stand up or exert myself, and I've had two episodes of sudden, sharp pains in my upper back and sides that have left me gasping for air."
53,Arthritis,"My muscles growl beneath my skin like trapped beasts, their movements hampered by a dull, persistent ache. Each gentle movement reverberates throughout my joints, reminding me of the invisible chains that bind them."
54,Acne,"I have been experiencing recurring skin issues for the past few months. I have small, red, and inflamed bumps on my face, particularly on my forehead and cheeks, which are often painful to touch. I also have whiteheads and blackheads on my nose and chin, making my skin look uneven and blemished."
55,Bronchial Asthma,"I've been experiencing increasing wheezing and shortness of breath when I exert myself, which seemed manageable at first but has gotten progressively worse over the past month. Lately, I've been waking up multiple times a night with a tight chest and coughing fits that leave me gasping for air, and I've noticed an annoying tickle at the back of my throat that's developed into a persistent nagging sensation, especially after drinking cold beverages."
56,Hypertension,"Lately, I've been feeling a constant, dull throbbing in my temples, especially in the morning, and I've noticed that even a gentle jog or climbing a few flights of stairs leaves me breathless and with a racing heart. Over the past few months, I've also experienced intermittent dizzy spells, particularly when I stand up quickly, and my family has been commenting on how irritable I've become, which I've been brushing off as stress, but it's been weighing on me."
57,Migraine,"A relentless wave of nausea and vertigo, like a drunken sailor adrift in a stormy sky, has become my unwelcome companion for weeks. Each pulse feels like a hammering orchestra, and the shimmering lights around me resemble pixelated visions in a flickering TV screen."
58,Cervical spondylosis,"Doctor, I've been experiencing this nagging neck pain for the past few months, which has been worsening over the last week, and I've also been noticing a weird tingling sensation in my left arm that comes and goes, especially when I'm working on my laptop for long hours. Sometimes, I wake up with a sharp pain in my neck and shoulders, and I have to slowly turn my head from side to side to loosen it up, which is really bothering me, especially today when I had to cancel my morning yoga class because of it."
59,Jaundice,"My eyes have held a hazy glow for weeks, a pale veil obscuring the world. Every flicker of light reflects a sickly yellow, mirroring the bile that paints my skin."
60,Malaria,"As a patient experiencing Malaria, I have been suffering from recurring bouts of fever and chills for the past few days, accompanied by severe headaches and fatigue that has lasted for weeks. Additionally, I have noticed a decline in my appetite and energy levels, along with occasional vomiting and muscle pain."
61,urinary tract infection,"I'm experiencing severe burning sensations while urinating that started about 2 weeks ago, and today it feels like there's a razor cutting through my bladder every time I go. The discomfort has been escalating over time, and I've also noticed yellow or cloudy urine, occasional blood clots, and a persistent feeling of urgency and pressure above my pubic bone that's been affecting my daily activities for several weeks."
62,allergy,"I've been experiencing itching and redness on my arms and legs for about 2 weeks now, but it got really bad yesterday when I ate a peanut butter sandwich at lunch and suddenly broke out in hives all over my torso. Today, I woke up with postnasal drip and a tickly sensation in the back of my throat, which I'm pretty sure is just my allergies kicking in again, but what really worries me is that my sinuses have been feeling congested for months, and I've been getting these annoying itchy patches on the roof of my mouth - it's like my body is just constantly reacting to something, but I have no idea what."
63,gastroesophageal reflux disease,"I've been noticing that for the past few weeks, I've been experiencing a burning sensation in my chest, especially after eating spicy or fatty foods, which has been making me wake up multiple times a night with a nasty taste in my mouth and a feeling of pressure behind my breasts. Lately, I've also started to regurgitate small amounts of undigested food and stomach acid, which has been causing acid reflux and heartburn that gets worse after lying down or bending over."
64,peptic ulcer disease,"I've been experiencing on-and-off stomach pain, sometimes like a dull ache, sometimes sharp and crampy, for the past few weeks, especially after meals or when I'm stressed. Today, I woke up with a severe burning sensation in my chest that radiated upwards and outwards, making me feel like I'm having a heart attack, and I'm also having very dark stools for the past few days, which is really worrying me."
65,diabetes,"Doctor, I've been feeling really thirsty lately, like I'm drinking a gallon of water every day, and even then I feel fatigued and hungry all the time, which is weird because I used to be super active but now a walk around the block leaves me breathless, I've also had some weird numbness in my hands and feet that's been bothering me for a few months, and I know I'm not eating as healthy as I used to since I lost my job and can't afford the groceries my family needs, I've also noticed that my skin is getting really pale and itchy, and I've had some pretty bad dents in my gums that don't heal quick..."
66,Psoriasis,"I've been dealing with this annoying, persistent itch on my elbows and knees for months, which sometimes wakes me up at night, and the scaly patches that have developed over time have become so embarrassing - I've started to avoid social gatherings and wearing short sleeves. Lately, I've noticed new lesions popping up on my lower back and scalp, and the ones on my arms have become inflamed and tender to the touch, making it hard for me to concentrate at work."
67,Varicose Veins,"I've noticed these bulgy, twisting veins on my legs, especially around my calves, and they've been getting progressively worse for the past couple of months. Some days they ache, feel heavy, and even burn, making it difficult to stand for long periods."
68,Typhoid,"Doc, I've been feeling really drained and weak for weeks, with recurring fever that comes and goes, sometimes spiking up to 103°F, and I've had this weird pain in my abdomen that's been on and off for months, but lately, it's been steady and uncomfortable, like a dull ache that won't quit. Just this past week, I've started having these awful headaches and I've been experiencing loose stools, which is really embarrassing, but I just can't seem to shake off this feeling of exhaustion and general fatigue, no matter how much rest I get."
69,Chicken pox,"I've been waking up with numbness and tingling sensations on my torso and arms for about a week now, which I initially brushed off as a side effect of a recent vaccination, but over the past three days, these symptoms have taken a turn for the worse, with bright red, itchy bumps that resemble a rash appearing on my face, scalp, and torso before spreading to my legs, along with a low-grade fever and general fatigue."
70,Impetigo,"I've been noticing small, fluid-filled blisters appearing on the skin of my face and hands over the past week. These lesions often burst, leaving behind a yellowish crust that feels uncomfortable and occasionally itchy."
71,Dengue,"A persistent heat under the skin, waves of nausea and chills that grip me in waves, each night like a phantom hand squeezing my bones."
72,Fungal infection,"Doc, I've been experiencing this persistent itching and burning sensation on my feet, especially between the toes, for the past 6 weeks, and it's been getting worse over the past fortnight, with some yellowish discharge and scaly skin patches appearing recently. Last night, I noticed a nasty rash spreading up my calf, which is red, swollen, and tender to the touch, and I'm worried it might be related to the fungal infection I think I've been dealing with for months."
73,Common Cold,"Doc, my throat has been scratchy for a couple weeks now, and I finally woke up today with a stuffy nose and headache. Just feeling really run down overall."
74,Pneumonia,"I've been feeling exhausted for weeks, with a nagging cough that's been getting worse, and lately, I've had this sharp, stabbing pain in my chest that makes it hard to breathe, especially when I take deep breaths or cough. Tonight, I woke up with a fever and chills, and my body aches all over, feeling like I've been hit by a truck."
75,Dimorphic Hemorrhoids,"My rectal passage has become a treacherous wasteland of alternating tension and unbearable relief. Each bowel movement feels like a perilous gamble, often leaving me with a sense of swelling and discomfort that lingers like a persistent shadow."
76,Arthritis,"Doctor, I've been noticing a persistent stiffness in my fingers and hands, especially in the morning, which has been worsening slowly over the past few weeks. It's like my joints are creaking and cracking all the time, making everyday activities like typing on my laptop, opening jars, or even simply shaking hands feel like a chore, and recently I've also been experiencing intense pain and swelling in my left knee after a short walk, which is making it difficult for me to even stand for more than 30 minutes at a time."
77,Acne,"I've been noticing some changes in my skin for the past few weeks. I've been experiencing recurring breakouts, particularly on my face, but also on my back and chest. These spots are red, inflamed, and sometimes filled with pus. They can be painful to the touch and can leave scars when they heal."
78,Bronchial Asthma,"Lately, I've been waking up in the middle of the night with a tight, suffocating feeling in my chest, like someone's wrapping a belt around me, and I've had to use my inhaler multiple times a day for the past few weeks just to be able to breathe without coughing up a storm. Even simple tasks like walking up the stairs or playing with my kids have been leaving me winded and wheezing for months now, and it's getting really scary."
79,Hypertension,"lately I've been having these pounding headaches that just won't quit, they feel different than usual and are making it hard to concentrate. I also feel my heart racing sometimes, and I noticed my vision has been a bit blurry recently, especially when I wake up."
80,Migraine,"Doctor, I've been experiencing this for weeks now, and it's been escalating in intensity - periods of crushing pressure around my left temple, accompanied by sensitivity to light and sound that makes daily activities a struggle. Just yesterday, I woke up with a nausea that's stuck with me all day, and I've also noticed that my vision has been blurring, especially in my left eye, making it hard to focus on anything for more than a few minutes."
81,Cervical spondylosis,"I've been experiencing a dull, aching pain in my neck and shoulder blades for the past few weeks, which worsens when I tilt my head to the side or bend forward, and sometimes it radiates down to my arms and fingers, especially in the mornings. Lately, I've also been noticing a weird numbness and tingling sensation in my fingers, especially in my left hand, which started about a month ago and has been getting progressively worse, to the point where I dropped my coffee cup this morning because I couldn't feel it in my hand."
82,Jaundice,"Doc, I've been feeling really off for the past few weeks - I've had this persistent yellowing of my skin and eyes that started about a month ago, and lately, I've been experiencing this intense itching all over my body, especially at night, which is keeping me awake. Just yesterday, I noticed my urine has turned a dark amber color and my stools have become pale, which is really scaring me."
83,Malaria,"Doc, I've been experiencing recurring episodes of high fever, chills, and sweating that started about 3 weeks ago, and it's been getting worse over the past week, with the fever spiking every 2-3 days, accompanied by a persistent headache and body aches that feel like my muscles are on fire. Lately, I've also been noticing that I'm getting extremely tired and weak, even after resting, and I've had a few instances of vomiting and diarrhea, which I initially thought was just a stomach bug, but it's been going on for over a week now."
84,urinary tract infection,"I've been experiencing a persistent and uncomfortable urge to urinate, accompanied by a burning sensation for the past few days. Additionally, I've noticed that my urine has appeared cloudy and has a strong, unpleasant odor for the past week or so."
85,allergy,"As a patient experiencing allergies, I've been noticing discomfort and various symptoms for the past few weeks. I've had intermittent bouts of sneezing, a runny nose, and itchy, watery eyes, which seem to be triggered by environmental factors like pollen or dust. Additionally, I've encountered occasional skin irritations, such as rashes and hives, which further confirm my suspicion of an allergic reaction."
86,gastroesophageal reflux disease,"Doctor, for the past three weeks, I've been experiencing a persistent burning sensation in my chest and throat, especially at night, that's been waking me up 2-3 times a week, and I've also noticed that whenever I bend over or lie down, I feel this wave of sour stomach acid creeping up into my mouth; Today, however, the symptoms felt especially worse, and I felt a tight, crushing pain in my chest while I was eating lunch that's left me feeling a bit nauseous."
87,peptic ulcer disease,"I've been experiencing a burning sensation in my stomach that's been coming and going for the past 2 months, sometimes it's so intense it wakes me up in the middle of the night, especially if I eat spicy food or lie down too soon after dinner. Just this morning, I felt a sharp, stabbing pain in my upper abdomen that lasted for a few hours after I had breakfast."
88,diabetes,"Doctor, I've been feeling incredibly thirsty lately, and I'm going to the bathroom much more often than usual. It's been going on for a few weeks now, and I'm just worried something isn't right."
89,Psoriasis,"I've been noticing patches of itchy, scaly skin on my elbows and knees for about a month now, which has been getting progressively worse. Today, I woke up with a particularly large, raised lesion on my scalp that's causing me significant discomfort and frustration, and I'm worried it might be spreading to other parts of my body."
90,Varicose Veins,"Doc, I've been noticing these bulging, twisted veins on my legs for a few months now, especially after standing for long periods, and lately, I've been experiencing this dull, aching pain in my calves that's been waking me up at night. Just today, I saw that one of the veins on my thigh has started to throb and feel warm to the touch, which is really freaking me out."
91,Typhoid,"Patient describes symptoms of persistent high fever lasting for weeks, accompanied by awful stomach cramps, debilitating headaches, and inability to keep food down."
92,Chicken pox,"Itchy, red spots all over the body for a few days, accompanied by exhaustion and a low-grade fever that started a couple of weeks ago."
93,Impetigo,"I've been noticing small, itchy bumps on my face, mostly on my nose and cheeks, for the past few weeks. It started with just a few, but they've been spreading and getting increasingly painful, with some of them crusty and oozing a thick, yellowish discharge."
94,Dengue,"I've been feeling absolutely exhausted for the past two weeks, like I've been running a marathon non-stop, but I've been stuck in bed trying to catch my breath. Lately, I've also noticed that my joints ache all over, especially in the morning, and I've had some weird fevers that seem to come and go, with days of feeling fine sandwiched between periods of serious fatigue."
95,Fungal infection,"Persistent itching and redness on feet for a few weeks, worsened with flaky patches and pain when walking."
96,Common Cold,"Doc, I've been feeling absolutely miserable for weeks now - my nose has been stuffy and congested since last month, and I've been experiencing these awful, hacking coughs that seem to come out of nowhere, especially at night. Lately, I've also been noticing that my throat feels scratchy and sore, and I've had these weird, tingling sensations in my fingers and toes that I've never experienced before, but I'm pretty sure it's all connected to this constant fatigue and brain fog that's been plaguing me for months."
97,Pneumonia,"I've been experiencing a persistent cough for the past week, occasionally producing phlegm that is rust-colored or tinged with blood. Additionally, I've had a low-grade fever for a few days, accompanied by fatigue and general malaise, which has made it difficult for me to perform my daily activities."
98,Dimorphic Hemorrhoids,"strange discomfort around my rectum for a couple of months, burning, itch, dull ache, need to constantly shift my position"
99,Arthritis,"Doc, I've been waking up with a stiffness in my hands and knees that seems to linger for hours, especially in the mornings, and recently I've noticed that even simple tasks like gripping a pen or climbing the stairs have become a struggle, leaving me feeling frustrated and worn out. Lately, I've also been experiencing episodes of sharp, stabbing pain in my joints, especially after periods of rest, which have been keeping me up at night and affecting my daily routine for the past few weeks."
100,Acne,"As a patient reporting acne, I've been experiencing persistent skin issues for the past few months. It started with a few occasional pimples, but now it has escalated to numerous inflamed red bumps and whiteheads scattered across my face, chest, and back, causing both physical discomfort and emotional distress."
101,Bronchial Asthma,"Doc, I've been waking up in the middle of the night for the past few weeks with this tight, squeezing sensation in my chest that makes it hard to breathe, and it's been happening more frequently, like 3-4 times a week, whereas earlier it was just once a week. Just yesterday, I was walking uphill and suddenly I felt like I was gasping for air, my lungs felt like they were burning, and I had to stop and sit down for a few minutes to catch my breath, which is really unusual for me."
102,Hypertension,"I've been waking up with persistent morning headaches and nosebleeds on and off for the past month or so, which got worse this past weekend. My wrists have also started hurting so suddenly without much straining just around Tuesday after workouts over three different week-span some stretching worsen occasional seared that leads day unable."
103,Migraine,"Doc, I've been experiencing these debilitating headaches for weeks now, often waking up with a nagging sense of pressure behind my left eye that gradually intensifies throughout the day, accompanied by a sensitivity to light and sound that makes me want to retreat to a quiet, dark room. Lately, I've also been noticing flashes of zigzag patterns in my vision, and sometimes even feel a weird numbness in my fingers and toes, which really freaks me out."
104,Cervical spondylosis,"over the past few months, I've been feeling this dull ache in the base of my neck that just won't go away, it's always there, even when I'm just sitting still, it's not too bad, but it's enough to make me shift my position constantly, it's been on and off, sometimes it's a bit worse than other days, but it's always there. Lately, I've also been waking up with stiffness in my neck and upper back, it takes me a couple of hours to loosen up after a good night's sleep, sometimes I'll get these sharp, stabbing pains down my arm when I'm driving or using my computer for extended periods, it's like a jolt of electricity, it usually subsides within a few minutes, but it's becoming more frequent, and I'm starting to worry that it's related to this weird numbness I've been feeling in my fingers, especially when I'm typing or holding things."
105,Jaundice,"I've been noticing a yellowish discoloration in my eyes and skin for the past month or so, which has been getting progressively worse, and just yesterday I started experiencing severe fatigue and dark urine that looks like strong tea. For the past week, I've also had a dull ache in my upper right abdomen that gets uncomfortable after eating, which I initially dismissed as heartburn, but it's persistent."
106,Malaria,"I've been feeling awful for weeks now. I've got these terrible chills that come in waves, and then I break out in a sweat so bad I think I'll pass out."
107,urinary tract infection,"Doc, I've been having this weird sensation of burning or stinging when I pee for a few weeks now, like a sharp, shooting pain that hits me just as the urine comes out. Sometimes it's so bad that I wince in pain, but other days it's just a dull ache, and to be honest, it's been really affecting my sleep at night, waking up 2-3 times with a sudden urge to get up and pee, and I've also noticed a weird, frequent need to void even after my first pee in the morning, which I know is not normal."
108,allergy,"Doc, I've had this nagging feeling of congestion in my chest and a relentless itchiness on the inside of my elbows for weeks now, which freaks me out because I've never experienced anything like it before. Today, I woke up with swollen lymph nodes and a puffy face, plus I've been noticing that my stomach feels bloated and tender after eating certain foods, like I'm lactose intolerant or something."
